symbol,entry_dt,exit_dt,entry_price,exit_price,qty,pnl,bars_held
BRK-B,2024-10-18,2024-10-25,464.79998779296875,454.010009765625,24,-258.95947265625,5
META,2024-09-20,2024-10-25,559.5904541015625,571.453125,20,237.25341796875,25
JNJ,2024-10-25,2024-11-01,155.84228515625,155.1157684326172,71,-51.58268737792969,5
HD,2024-09-06,2024-11-01,351.7117919921875,383.49822998046875,31,985.3795776367188,40
AAPL,2024-10-11,2024-11-08,226.4958953857422,226.15716552734375,50,-16.936492919921875,20
MA,2024-10-18,2024-11-15,513.3903198242188,518.9085693359375,22,121.4014892578125,20
MSFT,2024-11-08,2024-11-22,419.3913879394531,414.72113037109375,28,-130.7672119140625,10
GOOG,2024-11-01,2024-12-02,171.89764404296875,172.22621154785156,65,21.356887817382812,20
NVDA,2024-10-04,2024-12-02,124.88418579101562,138.59027099609375,93,1274.6659240722656,40
UNH,2024-11-15,2024-12-09,579.65869140625,550.8242797851562,20,-576.688232421875,15
BRK-B,2024-11-22,2024-12-09,476.57000732421875,463.8699951171875,25,-317.50030517578125,10
V,2024-10-18,2024-12-09,288.59332275390625,306.7320861816406,39,707.4117736816406,35
JPM,2024-10-11,2024-12-16,217.681884765625,234.61346435546875,55,931.2368774414062,45
BAC,2024-10-11,2024-12-16,40.98548126220703,44.67166519165039,293,1080.0518913269043,45
PG,2024-12-02,2024-12-23,175.07452392578125,163.7828369140625,69,-779.1264038085938,15
HD,2024-12-02,2024-12-23,419.2685852050781,385.3802795410156,28,-948.87255859375,15
VZ,2024-12-16,2024-12-23,38.24674987792969,37.36729431152344,316,-277.907958984375,5
NFLX,2024-10-25,2024-12-24,754.6799926757812,932.1199951171875,15,2661.6000366210938,42
TSLA,2024-10-25,2024-12-24,269.19000244140625,462.2799987792969,43,8302.869842529297,42
AMZN,2024-11-01,2024-12-24,197.92999267578125,229.0500030517578,60,1867.2006225585938,37
MSFT,2024-12-09,2024-12-24,443.5825500488281,436.9291076660156,28,-186.29638671875,12
AAPL,2024-12-09,2024-12-24,245.8771514892578,257.28668212890625,51,581.8860626220703,12
META,2024-12-09,2024-12-24,611.646728515625,606.333740234375,19,-100.94677734375,12
GOOG,2024-12-16,2024-12-24,197.5203399658203,196.93222045898438,65,-38.22776794433594,7
MA,2024-12-23,2024-12-24,525.938232421875,532.649658203125,23,154.36279296875,2
V,2024-12-23,2024-12-24,315.60675048828125,319.0192565917969,38,129.67523193359375,2
PFE,2024-12-23,2024-12-24,25.34636878967285,25.374835968017578,488,13.891983032226562,2
