dt,equity
2024-07-16,118370.54885292053
2024-07-17,115318.95692634583
2024-07-18,114492.70475578308
2024-07-19,113502.9678401947
2024-07-22,113111.46768951416
2024-07-23,112410.73703956604
2024-07-24,110463.46088790894
2024-07-25,111039.40421485901
2024-07-26,112389.54881286621
2024-07-29,112741.50057983398
2024-07-30,113432.9753665924
2024-07-31,113120.4112071991
2024-08-01,111391.60954475403
2024-08-02,110984.10819625854
2024-08-05,107430.71641159058
2024-08-06,107822.79226112366
2024-08-07,107069.23388290405
2024-08-08,108470.6426525116
2024-08-09,108355.84857940674
2024-08-12,107871.7990322113
2024-08-13,108531.82165145874
2024-08-14,109201.7905216217
2024-08-15,109543.72556686401
2024-08-16,109683.81177330017
2024-08-19,110750.00210380554
2024-08-20,110961.04292869568
2024-08-21,111258.43968582153
2024-08-22,110654.23154449463
2024-08-23,112029.60051345825
2024-08-26,111618.8413772583
2024-08-27,112036.1975440979
2024-08-28,111211.4342956543
2024-08-29,111146.43771743774
2024-08-30,112223.43826675415
2024-09-03,111220.65465164185
2024-09-04,110877.97185897827
2024-09-05,110067.23921966553
2024-09-06,108603.08825302124
2024-09-09,110688.90570449829
2024-09-10,111074.74402999878
2024-09-11,112208.457736969
2024-09-12,112850.5418434143
2024-09-13,113048.33995437622
2024-09-16,113510.93270111084
2024-09-17,113849.04481887817
2024-09-18,113161.38665390015
2024-09-19,114242.80000686646
2024-09-20,114096.46200942993
2024-09-23,115000.18260192871
2024-09-24,114468.40238571167
2024-09-25,114356.32670593262
2024-09-26,114360.38927841187
2024-09-27,114763.65279006958
2024-09-30,115055.37840652466
2024-10-01,114946.12861251831
2024-10-02,114319.24072265625
2024-10-03,113596.28812026978
2024-10-04,114626.52237701416
2024-10-07,112895.731716156
2024-10-08,114727.96464538574
2024-10-09,114788.65548324585
2024-10-10,114498.22939682007
2024-10-11,113898.60024261475
2024-10-14,114619.36528015137
2024-10-15,113213.00399398804
2024-10-16,113941.89056396484
2024-10-17,113468.7523651123
2024-10-18,114967.60383605957
2024-10-21,114732.02490615845
2024-10-22,114145.21253967285
2024-10-23,113365.67710494995
2024-10-24,113365.89444351196
2024-10-25,112802.63541030884
2024-10-28,113100.89279937744
2024-10-29,112570.29196166992
2024-10-30,112504.48246383667
2024-10-31,110778.28915405273
2024-11-01,111079.45806121826
2024-11-04,110260.75311660767
2024-11-05,111762.41357421875
2024-11-06,118273.37914657593
2024-11-07,118961.33605194092
2024-11-08,119951.71227645874
2024-11-11,121686.90105819702
2024-11-12,121517.81489944458
2024-11-13,121673.59229278564
2024-11-14,120654.69994354248
2024-11-15,119849.57496643066
2024-11-18,120979.09851837158
2024-11-19,122251.16737747192
2024-11-20,121913.30749893188
2024-11-21,121611.43747711182
2024-11-22,121829.32363128662
2024-11-25,121317.24922180176
2024-11-26,122000.42483901978
2024-11-27,121832.6537322998
2024-11-29,122851.18249511719
2024-12-02,123458.14291000366
2024-12-03,122698.44180679321
2024-12-04,123070.87924194336
2024-12-05,123531.32306671143
2024-12-06,124608.53845596313
2024-12-09,123550.51023101807
2024-12-10,123871.5895690918
2024-12-11,125887.97957229614
2024-12-12,125129.10039138794
2024-12-13,125345.86825561523
2024-12-16,126966.60466003418
2024-12-17,127454.62004089355
2024-12-18,122393.59408569336
2024-12-19,122281.00625610352
2024-12-20,122197.3310546875
2024-12-23,123129.25573730469
2024-12-24,125853.51077270508
